case_id,label,confidence,rationale
PR-514327886233,WEAK,4,Focuses on ultralight perovskite photovoltaic tiles specifically designed for space-based satellite solar power (SBSP) rather than terrestrial utility grid power.
PR-0D3FDB30A6E1,RELEVANT,5,Directly claims fundamental lead-halide perovskite solar cell compositions and methods for photoelectric power generation.
PR-266EEBF71F4A,RELEVANT,5,Directly claims self-assembled monolayer interfacial engineering to enhance operational stability (T80) and efficiency in perovskite solar cells.
PR-51B1B88BB280,RELEVANT,5,"Directly claims scalable vapor-assisted fabrication methods for high-efficiency, large-area perovskite solar cells for practical power generation."
PR-3F4AD1180A70,RELEVANT,5,Directly claims double composite heterojunction perovskite solar cell device structures and preparation methods to enhance power conversion.
PR-1BB4671B0B45,WEAK,4,Claims general nanofiber quantum computing hardware; mentions drug discovery only as part of a generic boilerplate list of potential applications.
PR-DAEB7C95B9B7,WEAK,4,"Claims general cloud access and scheduling systems for quantum computers, listing drug discovery only in an expansive boilerplate list of user use cases."
PR-8C955511C7D9,WEAK,4,Broad cloud quantum computing management system mentioning drug discovery only as a generic example alongside weather forecasting and astronomy.
PR-5971FBC69708,WEAK,4,"Focuses on modular quantum hardware interconnects and optical links, mentioning drug discovery only in a generic list of prospective applications."
PR-DD8686F1562F,RELEVANT,5,Directly claims material structures and methods for achieving Type II superconductivity above room temperature at ambient pressure.
PR-3780AEEA3B3A,RELEVANT,5,Directly claims modified lead-apatite ceramic compounds (LK-99) exhibiting superconductivity at room temperature and normal atmospheric pressure.
PR-86155826D859,RELEVANT,5,Directly claims chemical formula and preparation methods for room-temperature and ambient-pressure superconducting ceramics.
PR-A85E64F34331,RELEVANT,5,Directly claims room-temperature atmospheric-pressure superconducting ceramic compounds and lattice stress mechanisms.
PR-D004173A96BF,RELEVANT,5,Directly claims piezoelectricity-induced room-temperature superconductor materials and manipulation methods at ambient conditions.
PR-0B0670CC6D32,RELEVANT,5,"Directly claims composition and synthesis methods for room-temperature, atmospheric-pressure superconducting ceramic compounds."
PR-FBAC56630041,RELEVANT,5,Directly claims superconducting ceramic compositions and manufacturing methods for room temperature and normal pressure operation.
PR-5F05C3F50C3D,IRRELEVANT,5,"Keyword false match on 'room temperature'; claims friction-activated adhesive glue polymers, completely unrelated to superconductors."
PR-926D07248ADD,RELEVANT,5,Directly claims battery cells with solid-state electrolytes specifically configured for electric vehicles.
PR-E237018D23A7,RELEVANT,5,Directly claims solid-state battery cells and fabrication methods with low impedance scalable for electric vehicles.
PR-D5164ED08C3A,RELEVANT,5,Directly claims lithium metal anodes for solid-state lithium batteries targeting high energy density and safety in electric vehicles.
PR-59F5E6D3A94C,RELEVANT,5,Directly claims 3D structured solid-state electrolyte rechargeable batteries intended for powering electric vehicles.
PR-7016F81A41BD,RELEVANT,5,Directly claims an all-solid-state battery system equipped with a pressurizing device for electric and hybrid vehicle applications.
PR-620895C53C47,RELEVANT,5,Directly claims all-solid-state lithium-ion battery structures and preparation methods for electric vehicles.
PR-8ADEA96DBE08,RELEVANT,5,Directly claims all-solid-state lithium batteries utilizing solid electrolytes for electric and hybrid motor vehicles.
PR-4BF697FC2183,RELEVANT,5,Directly claims sulfide solid electrolyte materials and all-solid-state batteries for electric vehicle power supplies.
PR-D0149705F550,WEAK,5,Concerns safe shipping and warehouse storage of sodium-ion battery cells; 'storage' refers to logistics rather than grid energy storage applications.
PR-49401807269C,RELEVANT,5,Directly claims sodium transition metal oxide electrode materials for sodium-ion batteries.
PR-2A0B537AF9C4,RELEVANT,5,Directly claims sodium-ion battery cell structures and NaVPO4F cathode active materials.
PR-05D6EC4CBBB1,RELEVANT,5,Directly claims hard carbon composite anode-active materials for alkali metal-ion (sodium-ion) energy storage batteries.
PR-743300884C1D,RELEVANT,5,Directly claims electrolytes for sodium batteries specifically designed for low-cost grid-scale energy storage.
PR-E476FD491EA1,RELEVANT,5,Directly claims polyanionic KVOPO4 cathode materials enabling multi-ion transfer in sodium-ion batteries.
