case_id,corpus,topic,action,reason,technology_anchor,application_tokens,technology_in_title,technology_in_evidence,application_in_title,application_in_evidence,weak_context_markers,human_label
PR-BE0DD5F48B8C,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,True,True,False,False,,RELEVANT
PR-A8FA15380803,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,False,True,False,False,,RELEVANT
PR-20B8B305276A,benchmark_core,graphene-based flexible electronics,DROP,technology anchor 'electronic' is absent from title and evidence,electronic,,False,False,False,False,,RELEVANT
PR-71B8444ECAFC,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,True,True,False,False,,RELEVANT
PR-16A6620E09C0,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,False,True,False,False,,RELEVANT
PR-C39FC36C8752,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,False,True,False,False,,RELEVANT
PR-C7383F67A81B,benchmark_core,mRNA vaccines for cancer immunotherapy,KEEP,technology slot and focused application evidence are supported,vaccine,cancer|immunotherapy,True,True,False,True,,RELEVANT
PR-99C6F837BC29,benchmark_core,mRNA vaccines for cancer immunotherapy,KEEP,technology slot and focused application evidence are supported,vaccine,cancer|immunotherapy,True,True,False,True,,RELEVANT
PR-604AF317A77A,benchmark_core,mRNA vaccines for cancer immunotherapy,KEEP,technology slot and focused application evidence are supported,vaccine,cancer|immunotherapy,True,True,False,True,,RELEVANT
PR-182D85DF4F8E,benchmark_core,mRNA vaccines for cancer immunotherapy,REVIEW,application slot has no bounded support: cancer immunotherapy,vaccine,cancer|immunotherapy,True,True,False,False,,RELEVANT
PR-CE0F90A47335,benchmark_core,mRNA vaccines for cancer immunotherapy,REVIEW,application slot has no bounded support: cancer immunotherapy,vaccine,cancer|immunotherapy,True,True,False,False,,RELEVANT
PR-83D58944CB97,benchmark_core,mRNA vaccines for cancer immunotherapy,REVIEW,application slot has no bounded support: cancer immunotherapy,vaccine,cancer|immunotherapy,True,True,False,False,,RELEVANT
PR-B8A08EE9F438,benchmark_core,mRNA vaccines for cancer immunotherapy,REVIEW,application slot has no bounded support: cancer immunotherapy,vaccine,cancer|immunotherapy,True,True,False,False,,RELEVANT
PR-2D34C45E36BB,benchmark_core,mRNA vaccines for cancer immunotherapy,REVIEW,application slot has no bounded support: cancer immunotherapy,vaccine,cancer|immunotherapy,True,True,False,False,,RELEVANT
PR-422DCBCFD732,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-C4BA496745CB,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-5105648F232B,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-514327886233,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,False,True,False,False,,WEAK
PR-0D3FDB30A6E1,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-266EEBF71F4A,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-51B1B88BB280,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,False,True,False,False,,RELEVANT
PR-3F4AD1180A70,benchmark_core,perovskite solar cells for utility-scale power generation,REVIEW,application slot has no bounded support: utility scale power generation,cell,utility|scale|power|generation,True,True,False,False,,RELEVANT
PR-1BB4671B0B45,benchmark_core,quantum computing for drug discovery,REVIEW,"application support appears only in evidence with weak-context marker(s): variety of applications, applications such as, applications include, applied to a variety, background",computing,drug|discovery,True,True,False,True,variety of applications|applications such as|applications include|applied to a variety|background,WEAK
PR-DAEB7C95B9B7,benchmark_core,quantum computing for drug discovery,KEEP,technology slot and focused application evidence are supported,computing,drug|discovery,True,True,False,True,,WEAK
PR-8C955511C7D9,benchmark_core,quantum computing for drug discovery,KEEP,technology slot and focused application evidence are supported,computing,drug|discovery,True,True,False,True,,WEAK
PR-5971FBC69708,benchmark_core,quantum computing for drug discovery,REVIEW,"application support appears only in evidence with weak-context marker(s): variety of applications, applications such as, applied to a variety, merely by way of example",computing,drug|discovery,True,True,False,True,variety of applications|applications such as|applied to a variety|merely by way of example,WEAK
PR-DD8686F1562F,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-3780AEEA3B3A,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-86155826D859,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-A85E64F34331,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,False,True,False,False,,RELEVANT
PR-D004173A96BF,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-0B0670CC6D32,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-FBAC56630041,benchmark_core,room temperature ambient pressure superconductors,KEEP,technology anchor is supported; topic has no application slot,superconductor,,True,True,False,False,,RELEVANT
PR-5F05C3F50C3D,benchmark_core,room temperature ambient pressure superconductors,DROP,technology anchor 'superconductor' is absent from title and evidence,superconductor,,False,False,False,False,,IRRELEVANT
PR-926D07248ADD,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology and application slots are supported in the title,battery,electric|vehicle,True,True,True,True,,RELEVANT
PR-E237018D23A7,benchmark_core,solid-state batteries for electric vehicles,REVIEW,application support appears only in evidence with weak-context marker(s): applications such as,battery,electric|vehicle,True,True,False,True,applications such as,RELEVANT
PR-D5164ED08C3A,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-59F5E6D3A94C,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-7016F81A41BD,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-620895C53C47,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-8ADEA96DBE08,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-4BF697FC2183,benchmark_core,solid-state batteries for electric vehicles,KEEP,technology slot and focused application evidence are supported,battery,electric|vehicle,True,True,False,True,,RELEVANT
PR-D0149705F550,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,DROP,technology anchor 'battery' is absent from title and evidence,battery,grid|energy|storage,False,False,False,False,,WEAK
PR-49401807269C,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,REVIEW,application slot has no bounded support: grid energy storage,battery,grid|energy|storage,True,True,False,False,,RELEVANT
PR-2A0B537AF9C4,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,REVIEW,application slot has no bounded support: grid energy storage,battery,grid|energy|storage,True,False,False,False,,RELEVANT
PR-05D6EC4CBBB1,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,DROP,technology anchor 'battery' is absent from title and evidence,battery,grid|energy|storage,False,False,False,False,,RELEVANT
PR-743300884C1D,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,KEEP,technology slot and focused application evidence are supported,battery,grid|energy|storage,True,True,False,True,,RELEVANT
PR-E476FD491EA1,sodium_ion_grid_storage_challenge,sodium-ion batteries for grid energy storage,REVIEW,application slot has no bounded support: grid energy storage,battery,grid|energy|storage,True,False,False,False,,RELEVANT
